-6.154									
									
-5.975	-5.994	-6.012	-6.031	-6.049	-6.067	-6.084	-6.102	-6.12	-6.137
-5.781	-5.801	-5.821	-5.841	-5.861	-5.88	-5.9	-5.919	-5.938	-5.957
-5.573	-5.594	-5.616	-5.637	-5.658	-5.679	-5.7	-5.72	-5.741	-5.761
-5.349	-5.372	-5.395	-5.418	-5.44	-5.463	-5.485	-5.507	-5.529	-5.551
-5.111	-5.136	-5.16	-5.184	-5.208	-5.232	-5.256	-5.279	-5.303	-5.326
									
-4.859	-4.885	-4.911	-4.936	-4.962	-4.987	-5.012	-5.037	-5.062	-5.087
-4.593	-4.621	-4.648	-4.675	-4.701	-4.728	-4.755	-4.781	-4.807	-4.833
-4.314	-4.342	-4.371	-4.399	-4.427	-4.455	-4.483	-4.511	-4.539	-4.566
-4.021	-4.051	-4.081	-4.11	-4.14	-4.169	-4.198	-4.227	-4.256	-4.285
-3.715	-3.747	-3.778	-3.809	-3.839	-3.87	-3.9	-3.931	-3.961	-3.991
									
-3.397	-3.429	-3.462	-3.494	-3.526	-3.558	-3.59	-3.621	-3.653	-3.684
-3.066	-3.1	-3.133	-3.166	-3.2	-3.233	-3.266	-3.299	-3.332	-3.364
-2.723	-2.757	-2.792	-2.827	-2.861	-2.896	-2.93	-2.964	-2.998	-3.032
-2.367	-2.403	-2.439	-2.475	-2.511	-2.546	-2.582	-2.617	-2.652	-2.688
-2	-2.038	-2.075	-2.112	-2.149	-2.185	-2.222	-2.259	-2.295	-2.331
									
-1.622	-1.66	-1.699	-1.737	-1.775	-1.813	-1.85	-1.888	-1.926	-1.963
-1.233	-1.272	-1.311	-1.351	-1.39	-1.429	-1.468	-1.506	-1.545	-1.584
-0.832	-0.873	-0.913	-0.954	-0.994	-1.034	-1.074	-1.114	-1.153	-1.193
-0.421	-0.463	-0.504	-0.546	-0.587	-0.628	-0.669	-0.71	-0.751	-0.792
0	-0.043	-0.085	-0.127	-0.17	-0.212	-0.254	-0.296	-0.338	-0.38
									
	0.043	0.085	0.128	0.171	0.214	0.258	0.301	0.344	0.388
0.431	0.475	0.519	0.563	0.607	0.651	0.695	0.739	0.784	0.828
0.873	0.917	0.962	1.007	1.052	1.097	1.142	1.187	1.232	1.278
1.323	1.369	1.415	1.46	1.506	1.552	1.598	1.644	1.691	1.737
1.783	1.83	1.876	1.923	1.97	2.017	2.064	2.111	2.158	2.205
									
2.252	2.3	2.347	2.395	2.442	2.49	2.538	2.586	2.634	2.682
2.73	2.778	2.826	2.875	2.923	2.972	3.021	3.069	3.118	3.167
3.216	3.265	3.314	3.363	3.413	3.462	3.512	3.561	3.611	3.661
3.71	3.76	3.81	3.86	3.91	3.96	4.011	4.061	4.111	4.162
4.213	4.263	4.314	4.365	4.416	4.467	4.518	4.569	4.62	4.671
									
4.722									
