2020-11-14 02:00:15.404080 - ['R', '-50'] - RecursionError
2020-11-15 22:32:15.839950 - ['1600.0t', 'R'] - 18.849 mV(R)
2020-11-15 22:32:15.840043 - ['18.849', 'R'] - 1600 °C(R)
2020-11-15 22:32:15.840146 - ['18.849r', 'R'] - 1600 °C(R)
2020-11-15 22:32:15.840244 - ['1750', 'R'] - 20.877 mV(R)
2020-11-15 22:32:15.840348 - ['1750.0t', 'R'] - 20.877 mV(R)
2020-11-15 22:32:15.840442 - ['20.877', 'R'] - 1750 °C(R)
2020-11-15 22:32:15.840545 - ['20.877r', 'R'] - 1750 °C(R)
2020-11-15 22:32:15.841533 - ['-50', 'S'] - -0.236 mV(S)
2020-11-15 22:32:15.841645 - ['-50.0t', 'S'] - -0.236 mV(S)
2020-11-15 22:32:15.841749 - ['-0.236', 'S'] - -50 °C(S)
2020-11-15 22:32:15.841854 - ['-0.236r', 'S'] - -50 °C(S)
2020-11-15 22:32:15.841955 - ['100', 'S'] - 0.646 mV(S)
2020-11-15 22:32:15.842060 - ['100.0t', 'S'] - 0.646 mV(S)
2020-11-15 22:32:15.842158 - ['0.646', 'S'] - 100 °C(S)
2020-11-15 22:32:15.842264 - ['0.646r', 'S'] - 100 °C(S)
2020-11-15 22:32:15.842365 - ['250', 'S'] - 1.874 mV(S)
2020-11-15 22:32:15.842469 - ['250.0t', 'S'] - 1.874 mV(S)
2020-11-15 22:32:15.842564 - ['1.874', 'S'] - 250 °C(S)
2020-11-15 22:32:15.842666 - ['1.874r', 'S'] - 250 °C(S)
2020-11-15 22:32:15.842766 - ['400', 'S'] - 3.259 mV(S)
2020-11-15 22:32:15.842870 - ['400.0t', 'S'] - 3.259 mV(S)
2020-11-15 22:32:15.842965 - ['3.259', 'S'] - 400 °C(S)
2020-11-15 22:32:15.843076 - ['3.259r', 'S'] - 400 °C(S)
2020-11-15 22:32:15.843190 - ['550', 'S'] - 4.732 mV(S)
2020-11-15 22:32:15.843316 - ['550.0t', 'S'] - 4.732 mV(S)
2020-11-15 22:32:15.843413 - ['4.732', 'S'] - 550 °C(S)
