0	0.063	0.127	0.19	0.254	0.318	0.382	0.446	0.51	0.575
0.639	0.704	0.768	0.833	0.898	0.963	1.028	1.093	1.159	1.224
1.29	1.355	1.421	1.487	1.553	1.619	1.685	1.752	1.818	1.885
1.951	2.018	2.085	2.152	2.219	2.286	2.354	2.421	2.488	2.556
2.624	2.692	2.759	2.828	2.896	2.964	3.032	3.101	3.169	3.238
									
3.306	3.375	3.444	3.513	3.582	3.652	3.721	3.79	3.86	3.929
3.999	4.069	4.139	4.209	4.279	4.349	4.419	4.49	4.56	4.631
4.701	4.772	4.843	4.914	4.985	5.056	5.127	5.198	5.27	5.341
5.413	5.484	5.556	5.628	5.7	5.772	5.844	5.916	5.988	6.06
6.133	6.205	6.278	6.351	6.423	6.496	6.569	6.642	6.715	6.788
									
6.862	6.935	7.008	7.082	7.155	7.229	7.303	7.377	7.451	7.525
7.599	7.673	7.747	7.821	7.896	7.97	8.045	8.119	8.194	8.269
8.344	8.419	8.494	8.569	8.644	8.719	8.794	8.87	8.945	9.021
9.096	9.172	9.248	9.324	9.4	9.476	9.552	9.628	9.704	9.78
9.857	9.933	10.01	10.086	10.163	10.239	10.316	10.393	10.47	10.547
									
10.624	10.701	10.778	10.856	10.933	11.01	11.088	11.165	11.243	11.321
11.398	11.476	11.554	11.632	11.71	11.788	11.866	11.944	12.023	12.101
12.179	12.258	12.336	12.415	12.494	12.572	12.651	12.73	12.809	12.888
12.967	13.046	13.125	13.204	13.284	13.363	13.442	13.522	13.601	13.681
13.761	13.84	13.92	14	14.08	14.16	14.24	14.32	14.4	14.48
									
14.56	14.641	14.721	14.802	14.882	14.963	15.043	15.124	15.204	15.285
15.366	15.447	15.528	15.609	15.69	15.771	15.852	15.933	16.015	16.096
16.177	16.259	16.34	16.422	16.503	16.585	16.667	16.748	16.83	16.912
16.994	17.076	17.158	17.24	17.322	17.404	17.486	17.569	17.651	17.733
17.816	17.898	17.981	18.063	18.146	18.228	18.311	18.394	18.477	18.559
									
18.642	18.725	18.808	18.891	18.974	19.057	19.141	19.224	19.307	19.39
19.474	19.557	19.641	19.724	19.808	19.891	19.975	20.059	20.142	20.226
20.31	20.394	20.478	20.561	20.645	20.729	20.813	20.898	20.982	21.066
21.15	21.234	21.319	21.403	21.487	21.572	21.656	21.741	21.825	21.91
21.995	22.079	22.164	22.249	22.333	22.418	22.503	22.588	22.673	22.758
									
